,block size,box type,data structure,memory size,num cell probes,num disk accesses,num points,num queries
0,8,bigBoxes,NaiveStruct,32,2000000,267656,2000,1000
1,8,smallBoxes,NaiveStruct,32,2000000,250003,2000,1000
2,8,bigBoxes,XBST,32,381309,64368,2000,1000
3,8,smallBoxes,XBST,32,14271,5206,2000,1000
4,8,bigBoxes,XBST_non_veb,32,381309,68165,2000,1000
5,8,smallBoxes,XBST_non_veb,32,14271,8787,2000,1000
6,8,bigBoxes,RangeTree,32,129873,44060,2000,1000
7,8,smallBoxes,RangeTree,32,28702,8462,2000,1000
8,8,bigBoxes,RangeTree_non_veb,32,129873,48748,2000,1000
9,8,smallBoxes,RangeTree_non_veb,32,28702,9951,2000,1000
10,8,bigBoxes,Coors,32,153605,38720,2000,1000
11,8,smallBoxes,Coors,32,14852,6195,2000,1000
12,8,bigBoxes,NaiveStruct,64,2000000,264379,2000,1000
13,8,smallBoxes,NaiveStruct,64,2000000,250003,2000,1000
14,8,bigBoxes,XBST,64,381309,62351,2000,1000
15,8,smallBoxes,XBST,64,14271,4684,2000,1000
16,8,bigBoxes,XBST_non_veb,64,381309,65437,2000,1000
17,8,smallBoxes,XBST_non_veb,64,14271,7743,2000,1000
18,8,bigBoxes,RangeTree,64,129873,40927,2000,1000
19,8,smallBoxes,RangeTree,64,28702,7861,2000,1000
20,8,bigBoxes,RangeTree_non_veb,64,129873,45673,2000,1000
21,8,smallBoxes,RangeTree_non_veb,64,28702,9330,2000,1000
22,8,bigBoxes,Coors,64,153605,36880,2000,1000
23,8,smallBoxes,Coors,64,14852,5724,2000,1000
24,8,bigBoxes,NaiveStruct,128,2000000,262249,2000,1000
25,8,smallBoxes,NaiveStruct,128,2000000,250003,2000,1000
26,8,bigBoxes,XBST,128,381309,61084,2000,1000
27,8,smallBoxes,XBST,128,14271,4156,2000,1000
28,8,bigBoxes,XBST_non_veb,128,381309,63888,2000,1000
29,8,smallBoxes,XBST_non_veb,128,14271,6857,2000,1000
30,8,bigBoxes,RangeTree,128,129873,38988,2000,1000
31,8,smallBoxes,RangeTree,128,28702,7361,2000,1000
32,8,bigBoxes,RangeTree_non_veb,128,129873,43680,2000,1000
33,8,smallBoxes,RangeTree_non_veb,128,28702,8771,2000,1000
34,8,bigBoxes,Coors,128,153605,35618,2000,1000
35,8,smallBoxes,Coors,128,14852,5218,2000,1000
36,16,bigBoxes,NaiveStruct,256,2000000,131275,2000,1000
37,16,smallBoxes,NaiveStruct,256,2000000,125003,2000,1000
38,16,bigBoxes,XBST,256,381309,31488,2000,1000
39,16,smallBoxes,XBST,256,14271,2988,2000,1000
40,16,bigBoxes,XBST_non_veb,256,381309,34376,2000,1000
41,16,smallBoxes,XBST_non_veb,256,14271,5395,2000,1000
42,16,bigBoxes,RangeTree,256,129873,25319,2000,1000
43,16,smallBoxes,RangeTree,256,28702,5949,2000,1000
44,16,bigBoxes,RangeTree_non_veb,256,129873,30177,2000,1000
45,16,smallBoxes,RangeTree_non_veb,256,28702,7623,2000,1000
46,16,bigBoxes,Coors,256,153605,20334,2000,1000
47,16,smallBoxes,Coors,256,14852,3877,2000,1000
48,32,bigBoxes,NaiveStruct,1024,2000000,65777,2000,1000
49,32,smallBoxes,NaiveStruct,1024,2000000,63003,2000,1000
50,32,bigBoxes,XBST,1024,381309,14395,2000,1000
51,32,smallBoxes,XBST,1024,14271,1776,2000,1000
52,32,bigBoxes,XBST_non_veb,1024,381309,16773,2000,1000
53,32,smallBoxes,XBST_non_veb,1024,14271,2696,2000,1000
54,32,bigBoxes,RangeTree,1024,129873,17265,2000,1000
55,32,smallBoxes,RangeTree,1024,28702,4579,2000,1000
56,32,bigBoxes,RangeTree_non_veb,1024,129873,21043,2000,1000
57,32,smallBoxes,RangeTree_non_veb,1024,28702,5985,2000,1000
58,32,bigBoxes,Coors,1024,153605,11632,2000,1000
59,32,smallBoxes,Coors,1024,14852,2712,2000,1000
60,8,bigBoxes,NaiveStruct,32,1000000,133889,1000,1000
61,8,smallBoxes,NaiveStruct,32,1000000,125005,1000,1000
62,8,bigBoxes,XBST,32,194012,33797,1000,1000
63,8,smallBoxes,XBST,32,11592,4347,1000,1000
64,8,bigBoxes,XBST_non_veb,32,194012,37220,1000,1000
65,8,smallBoxes,XBST_non_veb,32,11592,7545,1000,1000
66,8,bigBoxes,RangeTree,32,85914,30535,1000,1000
67,8,smallBoxes,RangeTree,32,25167,7158,1000,1000
68,8,bigBoxes,RangeTree_non_veb,32,85914,34234,1000,1000
69,8,smallBoxes,RangeTree_non_veb,32,25167,8697,1000,1000
70,8,bigBoxes,Coors,32,84708,23094,1000,1000
71,8,smallBoxes,Coors,32,13340,5439,1000,1000
72,8,bigBoxes,NaiveStruct,32,2000000,267677,2000,1000
73,8,smallBoxes,NaiveStruct,32,2000000,250009,2000,1000
74,8,bigBoxes,XBST,32,380579,64356,2000,1000
75,8,smallBoxes,XBST,32,14327,5287,2000,1000
76,8,bigBoxes,XBST_non_veb,32,380579,68158,2000,1000
77,8,smallBoxes,XBST_non_veb,32,14327,8816,2000,1000
78,8,bigBoxes,RangeTree,32,130710,44266,2000,1000
79,8,smallBoxes,RangeTree,32,28659,8441,2000,1000
80,8,bigBoxes,RangeTree_non_veb,32,130710,49178,2000,1000
81,8,smallBoxes,RangeTree_non_veb,32,28659,9955,2000,1000
82,8,bigBoxes,Coors,32,152767,38628,2000,1000
83,8,smallBoxes,Coors,32,14872,6198,2000,1000
84,8,bigBoxes,NaiveStruct,32,5000000,669330,5000,1000
85,8,smallBoxes,NaiveStruct,32,5000000,625011,5000,1000
86,8,bigBoxes,XBST,32,941167,155476,5000,1000
87,8,smallBoxes,XBST,32,20618,6725,5000,1000
88,8,bigBoxes,XBST_non_veb,32,941167,159786,5000,1000
89,8,smallBoxes,XBST_non_veb,32,20618,10725,5000,1000
90,8,bigBoxes,RangeTree,32,255579,81446,5000,1000
91,8,smallBoxes,RangeTree,32,34365,10735,5000,1000
92,8,bigBoxes,RangeTree_non_veb,32,255579,88219,5000,1000
93,8,smallBoxes,RangeTree_non_veb,32,34365,12458,5000,1000
94,8,bigBoxes,Coors,32,358777,83529,5000,1000
95,8,smallBoxes,Coors,32,17174,7657,5000,1000
96,8,bigBoxes,NaiveStruct,32,10000000,1338501,10000,1000
97,8,smallBoxes,NaiveStruct,32,10000000,1250028,10000,1000
98,8,bigBoxes,XBST,32,1858602,304175,10000,1000
99,8,smallBoxes,XBST,32,29831,8490,10000,1000
100,8,bigBoxes,XBST_non_veb,32,1858602,308846,10000,1000
101,8,smallBoxes,XBST_non_veb,32,29831,12742,10000,1000
102,8,bigBoxes,RangeTree,32,452405,137939,10000,1000
103,8,smallBoxes,RangeTree,32,39309,12655,10000,1000
104,8,bigBoxes,RangeTree_non_veb,32,452405,146132,10000,1000
105,8,smallBoxes,RangeTree_non_veb,32,39309,14638,10000,1000
106,8,bigBoxes,Coors,32,689823,155017,10000,1000
107,8,smallBoxes,Coors,32,19048,8657,10000,1000
