,block size,box type,data structure,memory size,num cell probes,num disk accesses,num points,num queries
0,8,bigBoxes,NaiveStruct,32,2000000,266525,2000,1000
1,8,smallBoxes,NaiveStruct,32,2000000,250012,2000,1000
2,8,bigBoxes,XBST,32,394866,64827,2000,1000
3,8,smallBoxes,XBST,32,14220,5228,2000,1000
4,8,bigBoxes,XBST_non_veb,32,394866,68582,2000,1000
5,8,smallBoxes,XBST_non_veb,32,14220,8794,2000,1000
6,8,bigBoxes,RangeTree,32,122773,42195,2000,1000
7,8,smallBoxes,RangeTree,32,29141,8693,2000,1000
8,8,bigBoxes,RangeTree_non_veb,32,122773,47236,2000,1000
9,8,smallBoxes,RangeTree_non_veb,32,29141,10204,2000,1000
10,8,bigBoxes,Coors,32,138614,35439,2000,1000
11,8,smallBoxes,Coors,32,15105,6303,2000,1000
12,8,bigBoxes,NaiveStruct,64,2000000,263287,2000,1000
13,8,smallBoxes,NaiveStruct,64,2000000,250012,2000,1000
14,8,bigBoxes,XBST,64,394866,62906,2000,1000
15,8,smallBoxes,XBST,64,14220,4711,2000,1000
16,8,bigBoxes,XBST_non_veb,64,394866,65997,2000,1000
17,8,smallBoxes,XBST_non_veb,64,14220,7680,2000,1000
18,8,bigBoxes,RangeTree,64,122773,39150,2000,1000
19,8,smallBoxes,RangeTree,64,29141,8062,2000,1000
20,8,bigBoxes,RangeTree_non_veb,64,122773,44146,2000,1000
21,8,smallBoxes,RangeTree_non_veb,64,29141,9552,2000,1000
22,8,bigBoxes,Coors,64,138614,33799,2000,1000
23,8,smallBoxes,Coors,64,15105,5828,2000,1000
24,8,bigBoxes,NaiveStruct,128,2000000,261130,2000,1000
25,8,smallBoxes,NaiveStruct,128,2000000,250012,2000,1000
26,8,bigBoxes,XBST,128,394866,61690,2000,1000
27,8,smallBoxes,XBST,128,14220,4194,2000,1000
28,8,bigBoxes,XBST_non_veb,128,394866,64586,2000,1000
29,8,smallBoxes,XBST_non_veb,128,14220,6796,2000,1000
30,8,bigBoxes,RangeTree,128,122773,37251,2000,1000
31,8,smallBoxes,RangeTree,128,29141,7541,2000,1000
32,8,bigBoxes,RangeTree_non_veb,128,122773,42215,2000,1000
33,8,smallBoxes,RangeTree_non_veb,128,29141,8950,2000,1000
34,8,bigBoxes,Coors,128,138614,32621,2000,1000
35,8,smallBoxes,Coors,128,15105,5342,2000,1000
36,16,bigBoxes,NaiveStruct,256,2000000,130710,2000,1000
37,16,smallBoxes,NaiveStruct,256,2000000,125011,2000,1000
38,16,bigBoxes,XBST,256,394866,31853,2000,1000
39,16,smallBoxes,XBST,256,14220,3045,2000,1000
40,16,bigBoxes,XBST_non_veb,256,394866,34717,2000,1000
41,16,smallBoxes,XBST_non_veb,256,14220,5392,2000,1000
42,16,bigBoxes,RangeTree,256,122773,24626,2000,1000
43,16,smallBoxes,RangeTree,256,29141,6080,2000,1000
44,16,bigBoxes,RangeTree_non_veb,256,122773,29699,2000,1000
45,16,smallBoxes,RangeTree_non_veb,256,29141,7842,2000,1000
46,16,bigBoxes,Coors,256,138614,18870,2000,1000
47,16,smallBoxes,Coors,256,15105,3926,2000,1000
48,32,bigBoxes,NaiveStruct,1024,2000000,65497,2000,1000
49,32,smallBoxes,NaiveStruct,1024,2000000,63010,2000,1000
50,32,bigBoxes,XBST,1024,394866,14667,2000,1000
51,32,smallBoxes,XBST,1024,14220,1743,2000,1000
52,32,bigBoxes,XBST_non_veb,1024,394866,17167,2000,1000
53,32,smallBoxes,XBST_non_veb,1024,14220,2717,2000,1000
54,32,bigBoxes,RangeTree,1024,122773,16892,2000,1000
55,32,smallBoxes,RangeTree,1024,29141,4716,2000,1000
56,32,bigBoxes,RangeTree_non_veb,1024,122773,20902,2000,1000
57,32,smallBoxes,RangeTree_non_veb,1024,29141,6119,2000,1000
58,32,bigBoxes,Coors,1024,138614,10872,2000,1000
59,32,smallBoxes,Coors,1024,15105,2786,2000,1000
60,8,bigBoxes,NaiveStruct,32,1000000,133211,1000,1000
61,8,smallBoxes,NaiveStruct,32,1000000,125002,1000,1000
62,8,bigBoxes,XBST,32,199696,33822,1000,1000
63,8,smallBoxes,XBST,32,11677,4407,1000,1000
64,8,bigBoxes,XBST_non_veb,32,199696,37176,1000,1000
65,8,smallBoxes,XBST_non_veb,32,11677,7561,1000,1000
66,8,bigBoxes,RangeTree,32,81392,29449,1000,1000
67,8,smallBoxes,RangeTree,32,25298,7312,1000,1000
68,8,bigBoxes,RangeTree_non_veb,32,81392,33188,1000,1000
69,8,smallBoxes,RangeTree_non_veb,32,25298,8703,1000,1000
70,8,bigBoxes,Coors,32,77415,21645,1000,1000
71,8,smallBoxes,Coors,32,13402,5562,1000,1000
72,8,bigBoxes,NaiveStruct,32,2000000,266471,2000,1000
73,8,smallBoxes,NaiveStruct,32,2000000,250005,2000,1000
74,8,bigBoxes,XBST,32,392761,64570,2000,1000
75,8,smallBoxes,XBST,32,14195,5299,2000,1000
76,8,bigBoxes,XBST_non_veb,32,392761,68301,2000,1000
77,8,smallBoxes,XBST_non_veb,32,14195,8809,2000,1000
78,8,bigBoxes,RangeTree,32,121937,41865,2000,1000
79,8,smallBoxes,RangeTree,32,29135,8689,2000,1000
80,8,bigBoxes,RangeTree_non_veb,32,121937,46927,2000,1000
